# diffReps version: 1.55.4
## Parameter Settings ##
# Treatment files: output/filtered/DKO_CTCF_rep1.04_rm.bam.bed	output/filtered/DKO_CTCF_rep2.04_rm.bam.bed
# Control files: output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed	output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed
# Treatment background: None Specified
# Control background: None Specified
# Output file: output/diffreps/report_win150_p0.0001.txt
# Statistical Test: Negative Binomial
# Use robust estimation: yes
# Number of deviation cutoff: 2
# Alpha in right-trimmed mean: 0.05
# P-value cutoff: 0.0001
# Window size: 150
# Step size: 15
# Gap size: 0
# Fragment size: 115
# Number of processors used: 20
# Full command used: /cm/shared/apps/perl5/bin/diffReps.pl --control output/filtered/HCT116_CTCF_rep1.04_rm.bam.bed output/filtered/HCT116_CTCF_rep2.04_rm.bam.bed output/filtered/HCT116_CTCF_rep3.04_rm.bam.bed --treatment output/filtered/DKO_CTCF_rep1.04_rm.bam.bed output/filtered/DKO_CTCF_rep2.04_rm.bam.bed --report output/diffreps/report_win150_p0.0001.txt --gname hg19 --meth nb --frag 115 --nproc 20 --window 150 --pval 0.0001 --noanno --nohs
# Split BED files done in 49 seconds.
# Estimate mean and deviation for read counts done in 251 seconds
## Important values estimated from data ##
# Read count statistics based on bin size: 150
# Treatment count mean: 0.32	0.24
# Control count mean: 0.41	0.44	0.28
# Treatment count deviation: 0.47	0.35
# Control count deviation: 0.60	0.66	0.41
# Treatment normalization constant: 0.88	0.71
# Control normalization constant: 1.09	1.69	0.94
## FDR control information ##
# Genome coverage for windows that passed cutoff: 264703965
# N used in BH adjustment: 1764693
# Detecting differential sites done in 483 seconds
Chrom	Start	End	Length	Treatment.cnt	Control.cnt	Treatment.avg	Control.avg	Treatment.enr	Control.enr	Event	log2FC	pval	padj	winSta	winEnd	winFC	winP	winQ
chr1	714061	714375	315	27.22;47.95	11.97;8.27;20.14	37.59	13.46	NA	NA	Up	1.48	1.70836777574756e-05	0.00393364386128299	714106	714255	1.68	1.80751659962207e-06	0.000537531494900046
chr1	855016	855315	300	31.76;22.56	5.52;5.91;10.60	27.16	7.34	NA	NA	Up	1.89	5.04659420104415e-08	3.29962558741134e-05	855106	855255	2.33	2.42492044592445e-08	1.36281533008909e-05
chr1	954721	955005	285	53.32;49.36	20.26;17.13;25.44	51.34	20.94	NA	NA	Up	1.29	8.76247852832677e-08	4.92768786538832e-05	954826	954975	2.57	1.39680355568609e-09	5.51959329387533e-06
chr1	967771	968055	285	13.61;14.10	0.92;0.59;4.24	13.86	1.92	NA	NA	Up	2.85	6.96256442191902e-08	4.16525450541624e-05	967891	968040	3.45	2.38064692873717e-07	9.54580997640078e-05
chr1	976546	976755	210	10.21;4.23	0.00;0.00;0.00	7.22	0.00	NA	NA	Up	inf	7.62205327184758e-07	0.000287405642189242	976576	976725	inf	7.62205327184758e-07	0.000256984792786712
chr1	985141	985530	390	17.02;28.21	0.00;0.59;1.06	22.61	0.55	NA	NA	Up	5.36	1.54013234518619e-07	7.52244884756063e-05	985246	985395	6.44	5.5281589330525e-09	5.64757018191097e-06
chr1	986521	986895	375	22.69;22.56	0.92;0.00;8.48	22.63	3.13	NA	NA	Up	2.85	1.10085589757906e-08	1.21114257884444e-05	986641	986790	3.52	8.17835453233618e-09	6.27490651944866e-06
chr1	989971	990210	240	17.02;14.10	4.60;3.55;4.24	15.56	4.13	NA	NA	Up	1.91	1.53404763265824e-05	0.00361760043469965	989971	990120	3.50	1.00381662534115e-05	0.00234377900505841
chr1	1109356	1109670	315	18.15;11.28	1.84;0.59;1.06	14.72	1.16	NA	NA	Up	3.66	3.30084079601417e-08	2.48187927006418e-05	1109446	1109595	inf	7.26265686522102e-09	6.01416354895803e-06
chr1	1168156	1168305	150	6.81;2.82	0.00;0.00;0.00	4.81	0.00	NA	NA	Up	inf	6.13968781311781e-05	0.0107220822424486	1168156	1168305	inf	6.13968781311781e-05	0.00999323381847842
chr1	1221781	1222005	225	12.48;1.41	0.00;0.59;1.06	6.94	0.55	NA	NA	Up	3.66	2.8194225175884e-05	0.00587074033129982	1221811	1221960	inf	1.56644813094051e-06	0.000473177003001337
chr1	1284496	1284720	225	14.75;11.28	0.00;0.59;6.36	13.01	2.32	NA	NA	Up	2.49	4.85842719504964e-05	0.00916573921543055	1284511	1284660	2.80	1.44769182366485e-05	0.00307667658462178
chr1	1290106	1290330	225	7.94;4.23	0.00;0.00;0.00	6.09	0.00	NA	NA	Up	inf	7.19442093142208e-06	0.00193772042990446	1290106	1290255	inf	5.30267211835528e-05	0.00887001159329814
chr1	1352791	1353045	255	10.21;11.28	1.84;0.00;1.06	10.75	0.97	NA	NA	Up	3.47	4.32037697255571e-08	2.96198096380352e-05	1352851	1353000	3.40	2.43302430383315e-07	9.69703267128838e-05
chr1	1355401	1355715	315	23.82;9.87	0.00;0.00;0.00	16.85	0.00	NA	NA	Up	inf	7.18460538940887e-09	1.03020263803732e-05	1355446	1355595	inf	4.37037658857958e-09	5.51959329387533e-06
chr1	1374931	1375230	300	10.21;15.51	0.92;0.00;0.00	12.86	0.31	NA	NA	Up	5.39	2.78632162442501e-08	2.20463647981446e-05	1375006	1375155	inf	6.03524905055013e-09	5.75786482826774e-06
chr1	1647841	1648005	165	4.54;7.05	0.00;0.00;0.00	5.79	0.00	NA	NA	Up	inf	1.65161324145048e-05	0.00381241376833876	1647841	1647990	inf	1.65161324145048e-05	0.00339973209599321
chr1	1683601	1683900	300	13.61;14.10	1.84;2.36;0.00	13.86	1.40	NA	NA	Up	3.31	6.27693147140179e-08	3.85953206587541e-05	1683706	1683855	4.73	3.93236525214189e-08	1.98416494057957e-05
chr1	1684696	1685130	435	51.05;62.05	1.84;1.18;0.00	56.55	1.01	NA	NA	Up	5.81	3.46186166448969e-07	0.000147278761964641	1684771	1684920	inf	3.81940551789768e-09	5.51959329387533e-06
chr1	1689421	1689630	210	7.94;7.05	0.00;0.00;2.12	7.50	0.71	NA	NA	Up	3.41	2.29463372054482e-05	0.00500875965751886	1689436	1689585	inf	4.44809998884452e-07	0.000164587134755029
chr1	1695736	1695960	225	10.21;15.51	0.92;1.77;4.24	12.86	2.31	NA	NA	Up	2.48	4.7763694099142e-06	0.00137456387199767	1695766	1695915	2.45	8.87957263632979e-06	0.0021072780627115
chr1	1709551	1709790	240	14.75;8.46	0.00;2.36;4.24	11.60	2.20	NA	NA	Up	2.40	2.73390976206752e-05	0.00571624575800025	1709596	1709745	3.40	1.18453944755453e-07	5.18568214171012e-05
chr1	1756201	1756545	345	26.09;15.51	1.84;0.59;1.06	20.80	1.16	NA	NA	Up	4.16	5.87253430430714e-08	3.68535568245757e-05	1756351	1756500	3.88	5.19839554937157e-09	5.54749367422805e-06
chr1	1830616	1830885	270	21.55;25.38	5.52;0.59;11.66	23.47	5.93	NA	NA	Up	1.99	1.72294578197463e-05	0.00396462428064957	1830631	1830780	3.32	4.25645370366095e-08	2.10460466676227e-05
chr1	1905706	1906065	360	29.49;23.97	2.76;2.36;0.00	26.73	1.71	NA	NA	Up	3.97	9.91843364904241e-10	1.00052459953312e-05	1905871	1906020	4.17	2.0184704372884e-09	5.51959329387533e-06
chr1	1912606	1912890	285	7.94;12.69	0.00;0.00;0.00	10.32	0.00	NA	NA	Up	inf	1.98957083008875e-08	1.7446355945647e-05	1912666	1912815	inf	1.87294400488879e-08	1.09769882923255e-05
chr1	1986151	1986420	270	9.07;12.69	0.00;0.59;3.18	10.88	1.26	NA	NA	Up	3.11	9.0166496712838e-07	0.000328956348115915	1986181	1986330	4.11	1.22948668270934e-06	0.000394843774808078
chr1	2018776	2018970	195	6.81;7.05	0.00;0.59;0.00	6.93	0.20	NA	NA	Up	5.14	1.27959175864106e-05	0.00311094428360375	2018806	2018955	5.14	1.27959175864106e-05	0.00278069218982542
